,name,state_name,early_career_pay,make_world_better_percent,stem_percent,year,total_price,net_cost,tuition_higher_than_national_average,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,Total Minority,total_enrollment
591,Wentworth Institute of Technology,Massachusetts,62700.0,53.0,39.0,2017,54071.0,36307.197644,1,0,0,14190.0,33950.0,48140.0,33950.0,48140.0,909.0,4558.0
592,West Liberty University,West-Virginia,42500.0,51.0,6.0,2017,21380.0,14278.309218,0,1,0,9406.0,7730.0,17136.0,15670.0,25076.0,199.0,2694.0
593,West Virginia State University,West-Virginia,41800.0,46.0,8.0,2017,22062.5,9643.5389806,0,1,0,11892.0,8167.0,20059.0,16072.0,27964.0,315.0,2884.0
594,West Virginia University,West-Virginia,54400.0,52.0,22.0,2017,21354.0,12356.187317599999,0,1,0,10918.0,8856.0,19774.0,24950.0,35868.0,3646.0,29175.0
595,West Virginia University Institute of Technology,West-Virginia,57100.0,56.0,40.0,2017,20302.0,10623.379362399999,0,1,0,11390.0,7464.0,18854.0,18648.0,30038.0,192.0,1261.0
596,West Virginia University at Parkersburg,West-Virginia,36700.0,67.0,3.0,2017,12220.0,8254.887819399999,0,1,1,10984.052459016393,6330.0,6330.0,10920.0,10920.0,152.0,2985.0
597,West Virginia Wesleyan College,West-Virginia,47000.0,53.0,21.0,2017,43035.0,18201.431316,0,0,0,8856.0,31640.0,40496.0,31640.0,40496.0,203.0,1511.0
598,Western Carolina University,North-Carolina,44700.0,58.0,8.0,2017,21885.0,16151.961414,0,1,0,9682.0,4220.0,13902.0,8220.0,17902.0,1718.0,10382.0
599,Western Connecticut State University,Connecticut,51700.0,50.0,6.0,2017,27947.0,19799.426167999998,0,1,0,13072.0,10819.0,23891.0,22059.0,35131.0,1858.0,5952.0
600,Western Governors University,Utah,54500.0,57.0,9.0,2017,13270.0,0.0,0,0,0,10984.052459016393,6670.0,6670.0,6670.0,6670.0,14236.0,57821.0
601,Western Kentucky University,Kentucky,45500.0,49.0,10.0,2017,22255.5,15501.798187999997,0,1,0,8343.0,10602.0,18945.0,26496.0,34839.0,3171.0,20171.0
602,Western Michigan University,Michigan,50900.0,47.0,16.0,2017,25139.0,17834.164512,0,1,0,10143.0,12483.0,22626.0,15373.0,25516.0,4969.0,23914.0
603,Western New England University,Massachusetts,56400.0,44.0,21.0,2017,51311.0,28617.602567999995,1,0,0,13590.0,36804.0,50394.0,36804.0,50394.0,708.0,3922.0
604,Western New Mexico University,New-Mexico,41700.0,75.0,4.0,2017,22454.0,12453.634264,0,1,0,9136.0,6824.0,15960.0,15231.0,24367.0,1755.0,3557.0
